,metrics,mean,std
0,AUPR,0.3451199293431632,0.013755240075372039
1,AUROC,0.5213302545147784,0.010358060389412038
2,Accuracy,0.652688881616713,0.00704623854468977
3,F1 score,0.01988195999767984,0.02133200704710094
4,Precision,0.2191181406479854,0.07922746188182771
5,Recall,0.010815188594183782,0.012218400703182255
