,metrics,mean,std
0,AUPR,0.3477761161241165,0.012599816737607884
1,AUROC,0.5257971021226464,0.011411952917630034
2,Accuracy,0.6543892814092434,0.006353059192926817
3,F1 score,0.015259799688330123,0.017280195490623818
4,Precision,0.21421956365224468,0.07092914807396568
5,Recall,0.00818135760869831,0.00974640025829647
