,metrics,mean,std
0,AUPR,0.34387914958398025,0.01838418301614266
1,AUROC,0.5190629349701464,0.013677931352519034
2,Accuracy,0.6492870306037297,0.007381102956099962
3,F1 score,0.028700372250201184,0.025720608095504482
4,Precision,0.21843642107186176,0.0936162302851794
5,Recall,0.015880171120877622,0.014987005849350652
