,metrics,mean,std
0,AUPR,0.3475747284390433,0.011204739580054886
1,AUROC,0.5258814633967839,0.011367177020643649
2,Accuracy,0.6545242942214715,0.006171783897799316
3,F1 score,0.01608324017600911,0.018410280416558074
4,Precision,0.2242882824254164,0.06791994808220529
5,Recall,0.00862173675734108,0.010363934229694637
