,metrics,mean,std
0,AUPR,0.9998002493722258,0.000175758831383292
1,AUROC,0.8453055945960293,0.1175508666417432
2,Accuracy,0.9948105375331467,0.002720922019643275
3,F1 score,0.9973968369649681,0.00136987495456771
4,Precision,0.9989299311209334,2.9336222457918393e-06
5,Recall,0.9958717872382653,0.002723824660479932
