,metrics,mean,std
0,AUPR,0.999822478377522,0.00013243054308171353
1,AUROC,0.8594747286975559,0.08795284276162288
2,Accuracy,0.9944222778452414,0.0030879661487488255
3,F1 score,0.9972010121220988,0.001554967520976292
4,Precision,0.9989295110025608,3.330655362969422e-06
5,Recall,0.9954831133604578,0.0030912603470319407
