,metrics,mean,std
0,AUPR,0.99981748388813,0.00014186348265860844
1,AUROC,0.8568662906912454,0.09489728070592103
2,Accuracy,0.9944225138693678,0.0028857425976313114
3,F1 score,0.9972014156909376,0.0014530870535150425
4,Precision,0.9989295124792371,3.112327005689977e-06
5,Recall,0.9954833496363713,0.0028888210667118355
