,score,metrics,experiment
0,0.850999916918795,AUROC,0
1,0.997843919605462,Accuracy,0
2,0.998908405279349,Recall,0
3,0.9989331877837596,Precision,0
4,0.9989207963778453,F1 score,0
5,0.9998210144395836,AUPR,0
0,0.8489921211323967,AUROC,1
1,0.9948700156129959,Accuracy,1
2,0.9959313287684827,Recall,1
3,0.9989300022395302,Precision,1
4,0.9974284117025902,F1 score,1
5,0.9998209790800174,AUPR,1
0,0.9422649090376196,AUROC,2
1,0.9945478426804788,Accuracy,2
2,0.9956088121464721,Recall,2
3,0.9989296559964156,Precision,2
4,0.9972664695211351,F1 score,2
5,0.9999353136763925,AUPR,2
0,0.8923697413635934,AUROC,3
1,0.9938291492156328,Accuracy,3
2,0.9948893519896794,Recall,3
3,0.9989288827998506,Precision,3
4,0.9969050252942712,F1 score,3
5,0.9998740669807139,AUPR,3
0,0.6510220142115017,AUROC,4
1,0.9969765309409928,Accuracy,4
2,0.998040091297013,Recall,4
3,0.9989322606277314,Precision,4
4,0.9984859766691487,F1 score,4
5,0.9995050489183444,AUPR,4
0,0.940872721901821,AUROC,0
1,0.9969269658744517,Accuracy,0
2,0.9979904733551652,Recall,0
3,0.9989322075987087,Precision,0
4,0.9984611184194198,F1 score,0
5,0.99993333599306,AUPR,0
0,0.9417043993805835,AUROC,1
1,0.9930608906842457,Accuracy,1
2,0.994120273891039,Recall,1
3,0.9989280550431271,Precision,1
4,0.9965183656213473,F1 score,1
5,0.999935375033561,AUPR,1
0,0.8292969714592983,AUROC,2
1,0.9883522093628411,Accuracy,2
2,0.9894065694155006,Recall,2
3,0.9989229536118626,Precision,2
4,0.994141988234121,F1 score,2
5,0.9997948854873007,AUPR,2
0,0.9313088636106631,AUROC,3
1,0.9962330549428763,Accuracy,3
2,0.9972958221692965,Recall,3
3,0.9989314646389345,Precision,3
4,0.998112973308504,F1 score,3
5,0.9999220592227842,AUPR,3
0,0.6242242869440193,AUROC,4
1,0.9954647964114892,Accuracy,4
2,0.996526744070656,Recall,4
3,0.9989306408694139,Precision,4
4,0.9977272445012978,F1 score,4
5,0.9994604148905,AUPR,4
0,0.9269159448986988,AUROC,0
1,0.9963074025426879,Accuracy,0
2,0.9973702490820681,Recall,0
3,0.9989315442912163,Precision,0
4,0.998150286147009,F1 score,0
5,0.9999175025898778,AUPR,0
0,0.8941190622901334,AUROC,1
1,0.9947708854799138,Accuracy,1
2,0.9958320928847871,Recall,1
3,0.9989298957270487,Precision,1
4,0.9973785889105614,F1 score,1
5,0.9998784097596514,AUPR,1
0,0.9295687739291179,AUROC,2
1,0.9934574112165746,Accuracy,2
2,0.9945172174258212,Recall,2
3,0.9989284824320956,Precision,2
4,0.9967179691190731,F1 score,2
5,0.9999209890327754,AUPR,2
0,0.8922748326259892,AUROC,3
1,0.9882530792297589,Accuracy,3
2,0.9893073335318051,Recall,3
3,0.9989228456913828,Precision,3
4,0.9940918382609562,F1 score,3
5,0.9998750115651175,AUPR,3
0,0.8098337568166974,AUROC,4
1,0.997794354538921,Accuracy,4
2,0.9988587873375012,Recall,4
3,0.9989331348467932,Precision,4
4,0.9988959597087318,F1 score,4
5,0.9997627847628051,AUPR,4
0,0.9170812072622203,AUROC,0
1,0.9987113082699314,Accuracy,0
2,0.999776719261685,Recall,0
3,0.9989341133310198,Precision,0
4,0.9993552386856788,F1 score,0
5,0.9999039844147126,AUPR,0
0,0.9627579844499676,AUROC,1
1,0.9965304453421229,Accuracy,1
2,0.9975935298203831,Recall,1
3,0.9989317831768272,Precision,1
4,0.9982622079888781,F1 score,1
5,0.9999587878678431,AUPR,1
0,0.8897186431916105,AUROC,2
1,0.989740031225992,Accuracy,2
2,0.9907958717872383,Recall,2
3,0.9989244622311155,Precision,2
4,0.9948435631725787,F1 score,2
5,0.999873010776424,AUPR,2
0,0.8990782601872558,AUROC,3
1,0.9903595945577557,Accuracy,3
2,0.9914160960603354,Recall,3
3,0.9989251343582052,Precision,3
4,0.9951564503878575,F1 score,3
5,0.9998819539073458,AUPR,3
0,0.8283187479662414,AUROC,4
1,0.9975960942727565,Accuracy,4
2,0.9986603155701101,Recall,4
3,0.9989329230463806,Precision,4
4,0.9987966007071521,F1 score,4
5,0.999792923892842,AUPR,4
